,orf_name,hours,n,normalized_cs,q_cs,effect_cs,exp_id,exp_environment,loc_bin1,loc_bin2,Percent_ER,Percent_ER_expressing_cells
0,YAL066W,34,4,1.043932,0.02214,unchanged,28,"N+, C+",SLIGHTLY_ER,non-ER,0.05789473684210526,0.19298245614035087
1,YAL066W,34,4,1.027759,0.24189,unchanged,31,"N+, C++",SLIGHTLY_ER,non-ER,0.05789473684210526,0.19298245614035087
2,YAL066W,34,4,1.047038,0.059068,unchanged,33,"N++,C++",SLIGHTLY_ER,non-ER,0.05789473684210526,0.19298245614035087
3,YAL066W,35,4,1.029762,0.089184,unchanged,91,"N++,C+",SLIGHTLY_ER,non-ER,0.05789473684210526,0.19298245614035087
4,YAL066W,58,4,1.111953,0.0013,increased,93,"N-,C++",SLIGHTLY_ER,non-ER,0.05789473684210526,0.19298245614035087
5,YBL100W-C,34,4,1.049564,0.038531,unchanged,28,"N+, C+",SLIGHTLY_ER,non-ER,0.03409090909090909,0.04580152671755725
6,YBL100W-C,34,4,1.053416,0.080456,unchanged,31,"N+, C++",SLIGHTLY_ER,non-ER,0.03409090909090909,0.04580152671755725
7,YBL100W-C,34,4,1.054961,0.133351,unchanged,33,"N++,C++",SLIGHTLY_ER,non-ER,0.03409090909090909,0.04580152671755725
8,YBL100W-C,35,4,1.065821,0.005692,unchanged,91,"N++,C+",SLIGHTLY_ER,non-ER,0.03409090909090909,0.04580152671755725
9,YBL100W-C,58,4,1.104809,0.002146,increased,93,"N-,C++",SLIGHTLY_ER,non-ER,0.03409090909090909,0.04580152671755725
10,YBR196C-A,34,4,1.040746,0.058286,unchanged,28,"N+, C+",ER,ER,0.40447154471544716,0.6180124223602484
11,YBR196C-A,34,4,1.060801,0.033682,unchanged,31,"N+, C++",ER,ER,0.40447154471544716,0.6180124223602484
12,YBR196C-A,34,4,1.033612,0.142603,unchanged,33,"N++,C++",ER,ER,0.40447154471544716,0.6180124223602484
13,YBR196C-A,35,4,1.090892,0.002734,increased,91,"N++,C+",ER,ER,0.40447154471544716,0.6180124223602484
14,YBR196C-A,58,4,1.097681,0.0023,increased,93,"N-,C++",ER,ER,0.40447154471544716,0.6180124223602484
15,YBR296C-A,34,4,1.087799,0.002492,unchanged,28,"N+, C+",non-ER,non-ER,0.0,0.0
16,YBR296C-A,34,4,1.076805,0.018726,unchanged,31,"N+, C++",non-ER,non-ER,0.0,0.0
17,YBR296C-A,34,4,1.090955,0.002698,unchanged,33,"N++,C++",non-ER,non-ER,0.0,0.0
18,YBR296C-A,35,4,1.086445,0.002979,unchanged,91,"N++,C+",non-ER,non-ER,0.0,0.0
19,YBR296C-A,58,4,1.093971,0.002703,increased,93,"N-,C++",non-ER,non-ER,0.0,0.0
20,YCL058C,34,4,1.099507,0.00116,increased,28,"N+, C+",non-ER,non-ER,0.0,0.0
21,YCL058C,34,4,1.086016,0.003107,unchanged,31,"N+, C++",non-ER,non-ER,0.0,0.0
22,YCL058C,34,4,1.078407,0.01056,unchanged,33,"N++,C++",non-ER,non-ER,0.0,0.0
23,YCL058C,35,4,1.051261,0.111456,unchanged,91,"N++,C+",non-ER,non-ER,0.0,0.0
24,YCL058C,58,4,1.054695,0.036182,unchanged,93,"N-,C++",non-ER,non-ER,0.0,0.0
25,YDL118W,34,4,1.108232,0.005574,increased,28,"N+, C+",ER,ER,0.32251908396946566,0.6450381679389313
26,YDL118W,34,4,1.105158,0.002044,increased,31,"N+, C++",ER,ER,0.32251908396946566,0.6450381679389313
27,YDL118W,34,4,1.118672,0.002771,increased,33,"N++,C++",ER,ER,0.32251908396946566,0.6450381679389313
28,YDL118W,35,4,1.072941,0.039697,unchanged,91,"N++,C+",ER,ER,0.32251908396946566,0.6450381679389313
29,YDL118W,58,4,1.085391,0.004151,increased,93,"N-,C++",ER,ER,0.32251908396946566,0.6450381679389313
30,YDL187C,34,4,1.080525,0.003529,unchanged,28,"N+, C+",non-ER,non-ER,0.0,0.0
31,YDL187C,34,4,1.110615,0.002749,increased,31,"N+, C++",non-ER,non-ER,0.0,0.0
32,YDL187C,34,4,1.089529,0.003135,unchanged,33,"N++,C++",non-ER,non-ER,0.0,0.0
33,YDL187C,35,4,1.017535,0.294931,unchanged,91,"N++,C+",non-ER,non-ER,0.0,0.0
34,YDL187C,58,4,1.039562,0.067758,unchanged,93,"N-,C++",non-ER,non-ER,0.0,0.0
35,YEL035C,34,4,1.106597,0.000907,increased,28,"N+, C+",non-ER,non-ER,0.0,0.0
36,YEL035C,34,4,1.100338,0.001993,increased,31,"N+, C++",non-ER,non-ER,0.0,0.0
37,YEL035C,34,4,1.102606,0.001745,increased,33,"N++,C++",non-ER,non-ER,0.0,0.0
38,YEL035C,35,4,1.13297,0.00151,increased,91,"N++,C+",non-ER,non-ER,0.0,0.0
39,YEL035C,58,4,1.098464,0.001609,increased,93,"N-,C++",non-ER,non-ER,0.0,0.0
40,YER014C-A,34,4,1.122479,0.000998,increased,28,"N+, C+",non-ER,non-ER,0.0,0.0
41,YER014C-A,34,4,1.144939,0.001359,increased,31,"N+, C++",non-ER,non-ER,0.0,0.0
42,YER014C-A,34,4,1.150459,0.001083,increased,33,"N++,C++",non-ER,non-ER,0.0,0.0
43,YER014C-A,35,4,1.125023,0.0017,increased,91,"N++,C+",non-ER,non-ER,0.0,0.0
44,YER014C-A,58,4,1.134663,0.001723,increased,93,"N-,C++",non-ER,non-ER,0.0,0.0
45,YFL032W,34,4,1.110215,0.000904,increased,28,"N+, C+",non-ER,non-ER,0.0,0.0
46,YFL032W,34,4,1.050542,0.04601,unchanged,31,"N+, C++",non-ER,non-ER,0.0,0.0
47,YFL032W,34,4,1.082904,0.004096,unchanged,33,"N++,C++",non-ER,non-ER,0.0,0.0
48,YFL032W,35,4,1.083438,0.004717,unchanged,91,"N++,C+",non-ER,non-ER,0.0,0.0
49,YFL032W,58,4,1.088499,0.001861,increased,93,"N-,C++",non-ER,non-ER,0.0,0.0
50,YGL149W,34,2,1.100939,0.010549,unchanged,28,"N+, C+",SLIGHTLY_ER,non-ER,0.0429042904290429,0.11926605504587157
51,YGL149W,34,2,1.141708,0.009321,increased,31,"N+, C++",SLIGHTLY_ER,non-ER,0.0429042904290429,0.11926605504587157
52,YGL149W,34,2,1.100216,0.017787,unchanged,33,"N++,C++",SLIGHTLY_ER,non-ER,0.0429042904290429,0.11926605504587157
53,YGL149W,35,2,1.149222,0.012851,unchanged,91,"N++,C+",SLIGHTLY_ER,non-ER,0.0429042904290429,0.11926605504587157
54,YGL149W,58,2,1.174159,0.010932,unchanged,93,"N-,C++",SLIGHTLY_ER,non-ER,0.0429042904290429,0.11926605504587157
55,YGR035W-A,34,4,1.08209,0.001728,unchanged,28,"N+, C+",SLIGHTLY_ER,non-ER,0.06493506493506493,0.13071895424836602
56,YGR035W-A,34,4,1.11351,0.001188,increased,31,"N+, C++",SLIGHTLY_ER,non-ER,0.06493506493506493,0.13071895424836602
57,YGR035W-A,34,4,1.119312,0.001236,increased,33,"N++,C++",SLIGHTLY_ER,non-ER,0.06493506493506493,0.13071895424836602
58,YGR035W-A,35,4,1.105287,0.001955,increased,91,"N++,C+",SLIGHTLY_ER,non-ER,0.06493506493506493,0.13071895424836602
59,YGR035W-A,58,4,1.100562,0.001491,increased,93,"N-,C++",SLIGHTLY_ER,non-ER,0.06493506493506493,0.13071895424836602
65,YHR021W-A,34,4,1.102482,0.000946,increased,28,"N+, C+",SLIGHTLY_ER,non-ER,0.03879310344827586,0.06923076923076923
66,YHR021W-A,34,4,1.088477,0.003382,unchanged,31,"N+, C++",SLIGHTLY_ER,non-ER,0.03879310344827586,0.06923076923076923
67,YHR021W-A,34,4,1.082263,0.029731,unchanged,33,"N++,C++",SLIGHTLY_ER,non-ER,0.03879310344827586,0.06923076923076923
68,YHR021W-A,35,4,1.047484,0.026913,unchanged,91,"N++,C+",SLIGHTLY_ER,non-ER,0.03879310344827586,0.06923076923076923
69,YHR021W-A,58,4,1.045034,0.028615,unchanged,93,"N-,C++",SLIGHTLY_ER,non-ER,0.03879310344827586,0.06923076923076923
70,YIL134C-A,34,4,1.030336,0.136525,unchanged,28,"N+, C+",ER,ER,0.4657039711191336,0.7633136094674556
71,YIL134C-A,34,4,1.071943,0.059986,unchanged,31,"N+, C++",ER,ER,0.4657039711191336,0.7633136094674556
72,YIL134C-A,34,4,1.055515,0.055337,unchanged,33,"N++,C++",ER,ER,0.4657039711191336,0.7633136094674556
73,YIL134C-A,35,4,1.056947,0.066086,unchanged,91,"N++,C+",ER,ER,0.4657039711191336,0.7633136094674556
74,YIL134C-A,58,4,1.091203,0.006951,increased,93,"N-,C++",ER,ER,0.4657039711191336,0.7633136094674556
75,YKL183C-A,34,4,1.110883,0.000911,increased,28,"N+, C+",non-ER,non-ER,0.0,0.0
76,YKL183C-A,34,4,1.104118,0.001359,increased,31,"N+, C++",non-ER,non-ER,0.0,0.0
77,YKL183C-A,34,4,1.136611,0.001094,increased,33,"N++,C++",non-ER,non-ER,0.0,0.0
78,YKL183C-A,35,4,1.092818,0.00489,increased,91,"N++,C+",non-ER,non-ER,0.0,0.0
79,YKL183C-A,58,4,1.075416,0.006161,unchanged,93,"N-,C++",non-ER,non-ER,0.0,0.0
80,YLL006W-A,34,4,1.179292,0.000755,increased,28,"N+, C+",ER,ER,0.21479713603818615,0.4326923076923077
